Kraj,Populacja,Przyrost rzeczywisty (%),Przyrost rzeczywisty,Zaludnienie (Os./Km^2),Powierzchnia (Km^2),Migracje,Wspolczynnik dzietności,Sredni wiek,Urbanizacja (%),Powierzchnia ladu (%),Spozycie miesa,Przewidywana dlugosc zycia,wspolczynnik samobojstw,Wielkosc,Kontynent
Afghanistan,39074280,2.33,886592,60,652860,-62920.0,4.6,18,25.0,0.5,17.3,64.5,6.4,Duzy,Asia
Albania,2877239,-0.11,-3120,105,27400,-14000.0,1.6,36,63.0,0.04,43.84,71.75,5.6,Maly,Europe
Algeria,43984569,1.85,797990,18,2381740,-10000.0,3.1,29,73.0,0.56,18.3,76.7,3.3,Duzy,Africa
Angola,33032075,3.27,1040977,26,1246700,6413.0,5.6,17,67.0,0.42,19.0,60.8,8.9,Duzy,Africa
Argentina,45267449,0.93,415097,17,2736690,4800.0,2.3,32,93.0,0.58,79.7,76.5,9.1,Duzy,America
Armenia,2964219,0.19,5512,104,28470,-4998.0,1.8,35,63.0,0.04,27.7,74.9,5.7,Maly,Europe
Australia,25550683,1.18,296686,3,7682300,158246.0,1.8,38,86.0,0.33,108.2,83.3,11.7,Duzy,brak danych
Austria,9015361,0.57,51296,109,82409,65000.0,1.5,43,57.0,0.12,94.1,81.4,11.4,Duzy,Europe
Azerbaijan,10154978,0.91,91459,123,82658,1200.0,2.1,32,56.0,0.13,15.9,72.9,2.6,Duzy,Asia
Bahamas,393893,0.97,3762,39,10010,1000.0,1.8,32,86.0,0.01,123.6,73.8,1.6,Maly,America
Bahrain,1711057,3.68,60403,2239,760,47800.0,2.0,32,89.0,0.02,70.7,77.2,5.7,Maly,Asia
Bangladesh,164972348,1.01,1643222,1265,130170,-369501.0,2.1,28,39.0,2.11,3.1,72.3,6.1,Duzy,Asia
Barbados,287437,0.12,350,668,430,-79.0,1.6,40,31.0,0.0,88.7,79.1,0.4,Maly,America
Belarus,9448772,-0.03,-3088,47,202910,8730.0,1.7,40,79.0,0.12,58.6,74.6,21.4,Duzy,Europe
Belgium,11598451,0.44,50295,383,30280,48000.0,1.7,42,98.0,0.15,86.1,81.5,15.7,Duzy,Europe
Belize,398845,1.86,7275,17,22810,1200.0,2.3,25,46.0,0.01,74.7,74.5,5.9,Maly,America
Benin,12175480,2.73,322049,108,112760,-2000.0,4.9,19,48.0,0.16,16.2,61.5,15.7,Duzy,Africa
Bhutan,773069,1.12,8516,20,38117,320.0,2.0,28,46.0,0.01,3.0,71.5,11.6,Maly,Asia
Bolivia,11700207,1.39,159921,11,1083300,-9504.0,2.8,26,69.0,0.15,50.0,71.2,12.9,Duzy,America
Bosnia and Herzegovina,3277152,-0.61,-20181,64,51000,-21585.0,1.3,43,52.0,0.04,21.4,77.3,6.4,Maly,Europe
Botswana,2359585,2.08,47930,4,566730,3000.0,2.9,24,73.0,0.03,27.3,69.3,11.5,Maly,Africa
Brazil,212821986,0.72,1509890,25,8358140,21200.0,1.7,33,88.0,2.73,82.4,75.7,6.1,Duzy,America
Brunei,438202,0.97,4194,83,5270,0.0,1.8,32,80.0,0.01,43.84,75.7,4.5,Maly,Asia
Bulgaria,6939018,-0.74,-51674,64,108560,-4800.0,1.6,45,76.0,0.09,69.4,74.9,7.9,Maly,Europe
Burkina Faso,20997293,2.86,581895,76,273600,-25000.0,5.2,18,31.0,0.27,11.2,61.2,14.8,Duzy,Africa
Burundi,11948454,3.12,360204,463,25680,2001.0,5.5,17,14.0,0.15,3.5,61.2,15.0,Duzy,Africa
Cabo Verde,557026,1.1,6052,138,4030,-1342.0,2.3,28,68.0,0.01,26.3,72.8,15.1,Maly,Africa
Cambodia,16758448,1.41,232423,95,176520,-30000.0,2.5,26,24.0,0.21,13.9,69.6,5.9,Duzy,Asia
Cameroon,26655083,2.59,669483,56,472710,-4800.0,4.6,19,56.0,0.34,14.4,58.9,19.5,Duzy,Africa
Canada,37799407,0.89,331107,4,9093510,242032.0,1.5,41,81.0,0.48,108.1,82.3,10.4,Duzy,America
Central African Republic,4843954,1.78,84582,8,622980,-40000.0,4.8,18,43.0,0.06,28.0,52.8,11.6,Maly,Africa
Chad,16502877,3.0,478988,13,1259200,2000.0,5.8,17,23.0,0.21,14.3,54.0,15.5,Duzy,Africa
Chile,19144605,0.87,164163,26,743532,111708.0,1.7,35,85.0,0.25,66.4,80.0,9.7,Duzy,America
China,1440297825,0.39,5540090,153,9388211,-348399.0,1.7,38,61.0,18.47,52.4,76.7,8.0,Duzy,Asia
Colombia,50976248,1.08,543448,46,1109500,204796.0,1.8,31,80.0,0.65,33.9,77.1,7.0,Duzy,America
Comoros,872695,2.2,18715,467,1861,-2000.0,4.2,20,29.0,0.01,7.6,64.1,11.1,Maly,Africa
Congo,5540555,2.56,137579,16,341500,-4000.0,4.5,19,70.0,0.07,4.8,60.4,9.7,Maly,Africa
Costa Rica,5102158,0.92,46557,100,51060,4200.0,1.8,33,80.0,0.07,40.4,80.1,7.5,Maly,America
Croatia,4100719,-0.61,-25037,73,55960,-8001.0,1.4,44,58.0,0.05,49.9,78.3,11.5,Maly,Europe
Cuba,11325391,-0.06,-6867,106,106440,-14400.0,1.6,42,78.0,0.15,32.2,78.6,10.1,Duzy,America
Cyprus,1208886,0.73,8784,131,9240,5000.0,1.3,37,67.0,0.02,131.3,80.8,4.5,Maly,Europe
Czech Republic (Czechia),10712481,0.18,19772,139,77240,22011.0,1.6,43,74.0,0.14,77.3,79.2,10.5,Duzy,Europe
Denmark,5795780,0.35,20326,137,42430,15200.0,1.8,42,88.0,0.07,145.9,80.8,9.2,Maly,Europe
Djibouti,990447,1.48,14440,43,23180,900.0,2.8,27,79.0,0.01,17.1,66.6,8.5,Maly,Africa
Dominican Republic,10866667,1.01,108952,225,48320,-30000.0,2.4,28,85.0,0.14,37.8,73.9,10.5,Duzy,America
Ecuador,17688599,1.55,269392,71,248360,36400.0,2.4,28,63.0,0.23,45.0,76.8,7.2,Duzy,America
Egypt,102659126,1.94,1946331,103,995450,-38033.0,3.3,25,43.0,1.31,22.5,71.8,4.4,Duzy,Africa
El Salvador,6491923,0.51,32652,313,20720,-40539.0,2.1,28,73.0,0.08,21.4,73.1,13.5,Maly,America
Equatorial Guinea,1410419,3.47,46999,50,28050,16000.0,4.6,22,73.0,0.02,43.84,58.4,22.0,Maly,Africa
Eritrea,3554797,1.41,49304,35,101000,-39858.0,4.1,19,63.0,0.05,7.7,65.9,13.8,Maly,Africa
Estonia,1326693,0.07,887,31,42390,3911.0,1.6,42,68.0,0.02,67.4,78.6,14.4,Maly,Europe
Eswatini,1162233,1.05,12034,67,17200,-8353.0,3.0,21,30.0,0.01,43.84,59.4,16.7,Maly,Africa
Ethiopia,115434444,2.57,2884858,115,1000000,30000.0,4.3,19,21.0,1.47,7.9,66.2,11.4,Duzy,Africa
Fiji,897573,0.73,6492,49,18270,-6202.0,2.8,28,59.0,0.01,39.1,67.3,5.5,Maly,brak danych
Finland,5542237,0.15,8564,18,303890,14000.0,1.5,43,86.0,0.07,67.4,81.7,11.7,Maly,Europe
France,65298930,0.22,143783,119,547557,36527.0,1.9,42,82.0,0.84,101.1,82.5,12.1,Duzy,Europe
French Guiana,299958,2.7,7850,4,82200,1200.0,3.4,25,87.0,0.0,13.2,71.75,9.69,Maly,America
French Polynesia,281191,0.58,1621,77,3660,-1000.0,2.0,34,64.0,0.0,112.2,71.75,9.69,Maly,brak danych
Gabon,2234448,2.45,53155,9,257670,3260.0,4.0,23,87.0,0.03,46.0,66.2,9.6,Maly,Africa
Gambia,2427782,2.94,68962,239,10120,-3087.0,5.3,18,59.0,0.03,5.2,61.7,10.0,Maly,Africa
Georgia,3987805,-0.19,-7598,57,69490,-10000.0,2.1,38,58.0,0.05,26.0,73.6,6.7,Maly,Asia
Germany,83830972,0.32,266897,240,348560,543822.0,1.6,46,76.0,1.07,82.1,81.2,9.1,Duzy,Europe
Ghana,31181428,2.15,655084,137,227540,-10000.0,3.9,22,57.0,0.4,9.9,63.8,8.7,Duzy,Africa
Greece,10413936,-0.48,-50401,81,128900,-16000.0,1.3,46,85.0,0.13,78.7,82.1,3.8,Duzy,Europe
Grenada,112614,0.46,520,331,340,-200.0,2.1,32,35.0,0.0,97.0,72.4,1.7,Maly,America
Guadeloupe,400136,0.02,68,237,1690,-1440.0,2.2,44,59.58,0.01,12.7,71.75,9.69,Maly,America
Guam,169031,0.89,1481,313,540,-506.0,2.3,31,95.0,0.0,52.6,71.75,9.69,Maly,America
Guatemala,17971382,1.9,334096,167,107160,-9215.0,2.9,23,52.0,0.23,23.8,74.1,2.9,Duzy,America
Guinea,13191279,2.83,361549,53,245720,-4000.0,4.7,18,39.0,0.17,6.5,61.2,7.4,Duzy,Africa
Guyana,787215,0.48,3786,4,196850,-6000.0,2.5,27,27.0,0.01,31.8,69.8,30.2,Maly,America
Haiti,11426356,1.24,139451,414,27560,-35000.0,3.0,24,57.0,0.15,15.3,63.7,12.2,Duzy,America
Honduras,9931333,1.63,158490,89,111890,-6800.0,2.5,24,57.0,0.13,24.7,75.1,3.4,Duzy,America
Hong Kong,7507523,0.82,60827,7140,1050,29308.0,1.3,45,59.58,0.1,43.84,84.7,9.69,Maly,Asia
Hungary,9655983,-0.25,-24328,107,90530,6000.0,1.5,43,72.0,0.12,100.7,76.7,13.6,Duzy,Europe
Iceland,341628,0.65,2212,3,100250,380.0,1.8,37,94.0,0.0,84.8,82.9,13.3,Maly,Europe
India,1382345085,0.99,13586631,464,2973190,-532687.0,2.2,28,35.0,17.7,5.2,69.4,16.5,Duzy,Asia
Indonesia,274021604,1.07,2898047,151,1811570,-98955.0,2.3,30,56.0,3.51,8.3,71.5,3.7,Duzy,Asia
Iran,84176929,1.3,1079043,52,1628550,-55000.0,2.2,32,76.0,1.08,23.1,76.5,4.0,Duzy,Asia
Iraq,40372771,2.32,912710,93,434320,7834.0,3.7,21,73.0,0.52,18.2,70.5,4.1,Duzy,Asia
Ireland,4947267,1.13,55291,72,68890,23604.0,1.8,38,63.0,0.06,106.3,82.1,10.9,Maly,Europe
Israel,8678517,1.6,136158,400,21640,10000.0,3.0,30,93.0,0.11,97.1,82.8,5.2,Maly,Asia
Italy,60446035,-0.15,-88249,206,294140,148943.0,1.3,47,69.0,0.78,90.4,83.6,5.5,Duzy,Europe
Jamaica,2963429,0.44,12888,273,10830,-11332.0,2.0,31,55.0,0.04,56.8,74.4,2.0,Maly,America
Japan,126407422,-0.3,-383840,347,364555,71560.0,1.4,48,92.0,1.62,45.9,84.5,14.3,Duzy,Asia
Jordan,10220604,1.0,101440,115,88780,10220.0,2.8,24,91.0,0.13,29.8,74.4,3.7,Duzy,Asia
Kazakhstan,18815231,1.21,225280,7,2699700,-18000.0,2.8,31,58.0,0.24,44.8,73.2,22.8,Duzy,Asia
Kenya,53968739,2.28,1197323,94,569140,-10000.0,3.5,20,28.0,0.69,14.3,63.3,5.6,Duzy,America
Kiribati,119760,1.57,1843,147,810,-800.0,3.6,23,57.0,0.0,32.1,68.1,15.2,Maly,brak danych
Kuwait,4281320,1.51,63488,240,17820,39520.0,2.1,37,59.58,0.05,60.2,75.4,2.2,Maly,Asia
Kyrgyzstan,6542426,1.69,108345,34,191800,-4000.0,3.0,26,36.0,0.08,39.0,71.3,9.1,Maly,Asia
Laos,7293542,1.48,106105,32,230800,-14704.0,2.7,24,36.0,0.09,15.0,67.6,9.3,Maly,Asia
Latvia,1882408,-1.08,-20545,30,62200,-14837.0,1.7,44,69.0,0.02,45.7,75.2,17.2,Maly,Europe
Lebanon,6819976,-0.44,-30268,667,10230,-30012.0,2.1,30,78.0,0.09,63.1,78.9,3.2,Maly,Asia
Lesotho,2145194,0.8,16981,71,30360,-10047.0,3.2,24,31.0,0.03,15.4,53.7,28.9,Maly,Africa
Liberia,5077411,2.44,120307,53,96320,-5000.0,4.4,19,53.0,0.06,7.9,63.7,13.4,Maly,Africa
Libya,6887247,1.38,93840,4,1759540,-1999.0,2.3,29,78.0,0.09,28.6,72.7,5.5,Maly,Africa
Lithuania,2715340,-1.35,-37338,43,62674,-32780.0,1.7,45,71.0,0.03,49.5,75.7,25.7,Maly,Europe
Luxembourg,627704,1.66,10249,242,2590,9741.0,1.5,40,88.0,0.01,141.7,82.1,10.4,Maly,Europe
Madagascar,27808395,2.68,721711,48,581795,-1500.0,4.1,20,39.0,0.36,17.6,66.7,6.9,Duzy,Africa
Malawi,19211425,2.69,501205,203,94280,-16053.0,4.3,18,18.0,0.25,5.1,63.8,7.8,Duzy,Africa
